nota_id,target,version,active,type,subtype,texto_nota
n-1-1,#seg-1-1,1,true,realia,,<term>Maestre</term> era el cargo más alto de una orden militar.
n-2-1,#seg-2-1,1,true,geografica,,"Debe referirse a la villa de Almagro, donde se situaba el convento y palacio de la Orden de Calatrava y el inicio de la acción."
n-3-1,#seg-3-1,1,true,lexica,,<term>grave:</term> ‘circunspecto’.
n-5-1,#seg-5-1,1,true,historica,,<term>Fernán Gómez de Guzmán:</term> personaje histórico mencionado en las crónicas históricas en que se basó Lope de Vega para esta obra.
n-7-1,#l-7,1,true,parafrasis,,‘Y si no supiera mi nombre’.
n-9-1,#seg-9-1,1,true,realia,,<term>Comendador Mayor</term> era el segundo cargo más importante de una orden militar.
n-14-1,#seg-14-1,1,true,lexica,,<term>abrir la voluntad:</term> ‘ganarse el afecto’.
n-20-1,#l-20,1,true,parafrasis,,"Entiéndase ‘la boca del descortés a sus pies’, es decir, ‘hacerle daño’ o ‘afrentarlo’."
n-23-1,#l-23,1,true,parafrasis,,‘¡Qué pesado es soportarlo!’.
n-25-1,#l-25 #l-26 #l-27 #l-28,1,true,parafrasis,,"Es decir, si el superior es descortés con un súbdito, es peor que necio, casi un tirano."
n-29-1,#l-29 #l-30 #l-31,1,true,parafrasis,,"Flores aconseja al Comendador no ofenderse, pues el Maestre es muy joven y no sabe aún hacerse amar y respetar por sus inferiores."
n-32-1,#l-32 #l-33 #l-34,1,true,realia,,El ingreso en la orden (al ceñir su espada y lucir su cruz en el pecho) obliga a sus miembros a mantener un comportamiento cortés. Cada orden tenía una cruz distintiva; la de Calatrava era de color rojo (se alude a ello en vv. 131-137).
n-43-1,#seg-43-1,1,true,lexica,,<term>agora:</term> forma antigua de ‘ahora’; nueva: ‘noticia’.
n-46-1,#seg-46-1,1,true,lexica,estilistica,"<term>el amor y la crïanza:</term> ‘el afecto y la cortesía, el respeto’. La diéresis indica que debe separarse el diptongo: cri | an | za (como en los versos 159: «crïados»; 194: «fïadas»; 273: «fïarse», y otros)."
